Year,Motherboard_Model,CPU,GPU,RAM_GB,Storage_GB,Price_PHP
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,32,2048,51854.32
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,64,512,134265.04
2022,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3060,64,512,62454.56
2022,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3080,16,512,58255.12
2022,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,32,1024,51405.76
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,32,512,125520.64
2023,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,107815.12
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,16,512,52157.28
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3060,32,512,44604
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 4090,64,2048,147593.6
2023,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 4090,32,2048,143354.96
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3060,64,512,66072.72
2021,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3080,16,2048,55224.4
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,64,1024,60583.04
2024,ASRock X570 Phantom,Intel i5-11400F,RX 6700 XT,16,1024,35686.56
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3060,64,1024,68859.28
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,64,2048,67470.48
2021,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,32,1024,103297.6
2020,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3070,16,2048,41959.12
2024,Gigabyte B660M DS3H,Intel i9-12900K,RX 7900 XTX,64,2048,126748.72
2023,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3070,16,512,51433.2
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 6700 XT,32,2048,63961.52
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,32,1024,104884.08
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 7900 XTX,16,512,87086.72
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,16,2048,93154.88
2021,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 7900 XTX,32,512,75234.32
2023,ASUS TUF Gaming B660M,Intel i7-12700K,RX 6700 XT,64,1024,68874.4
2023,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3060,64,512,60681.04
2023,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3080,64,1024,104509.44
2023,Gigabyte B660M DS3H,Intel i9-12900K,RX 6700 XT,16,2048,60579.12
2020,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 7900 XTX,64,2048,91687.12
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,16,1024,106552.32
2021,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3080,32,1024,80416.56
2024,ASUS TUF Gaming B660M,Intel i7-12700K,RX 6700 XT,32,1024,58625.84
2020,ASUS TUF Gaming B660M,Intel i5-11400F,RX 7900 XTX,32,512,65251.2
2020,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 4090,16,1024,93807.84
2021,Gigabyte B660M DS3H,Intel i7-12700K,RX 7900 XTX,32,512,80066
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3080,32,512,77921.76
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3070,16,1024,58153.2
2022,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3070,32,2048,76071.52
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,16,1024,30117.36
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,64,2048,77318.64
2023,ASRock X570 Phantom,Intel i5-11400F,RX 7900 XTX,32,512,79975.84
2023,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,16,512,110975.76
2023,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3060,16,1024,49178.64
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 4090,16,2048,114965.2
2021,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,16,2048,47262.32
2021,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 7900 XTX,16,2048,89269.04
2021,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RX 7900 XTX,32,512,73980.48
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3060,64,2048,67919.04
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,16,512,51437.68
2022,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3070,64,2048,69170.64
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3080,64,512,89909.12
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,64,512,62793.92
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3060,16,1024,54254.48
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 4090,64,2048,149136.4
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 3080,32,512,46460.4
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,64,2048,84777.84
2021,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3060,64,512,47542.32
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3060,16,1024,39436.32
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 7900 XTX,64,1024,125427.68
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,64,2048,61137.44
2024,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3080,16,1024,66062.64
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3070,64,1024,67711.28
2023,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 7900 XTX,64,2048,118321.84
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 4090,64,512,130234.16
2020,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 4090,16,1024,88650.24
2024,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,64,2048,91879.76
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RX 7900 XTX,16,2048,73136
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,64,2048,79184.56
2022,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,64,1024,83186.32
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,32,2048,116559.52
2020,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,64,512,78099.84
2023,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,16,1024,63644.56
2024,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3070,32,512,70353.92
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3060,16,2048,60766.72
2024,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3060,16,512,27832
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3070,16,512,39947.04
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 7900 XTX,32,512,102047.68
2022,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 7900 XTX,32,1024,75829.6
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,64,2048,70981.12
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 6700 XT,16,1024,38199.28
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3080,32,512,65428.16
2024,ASRock X570 Phantom,Intel i5-11400F,RTX 3080,16,1024,54925.36
2024,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,59974.88
2022,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3070,64,2048,77318.08
2021,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,16,512,83807.92
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 7900 XTX,16,1024,100115.12
2020,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RX 7900 XTX,64,1024,89315.52
2020,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3070,32,1024,46804.8
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3080,16,512,61010.88
2021,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RX 7900 XTX,32,1024,72528.4
2020,Gigabyte B660M DS3H,Intel i5-11400F,RX 6700 XT,16,2048,30941.12
2023,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,16,1024,44007.04
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3080,32,1024,70458.64
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,16,512,54243.28
2021,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3060,16,512,36505.84
2021,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,32,512,58820.16
2024,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,32,1024,133024.64
2022,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,64,1024,61591.04
2024,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3080,16,512,62178.48
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RX 6700 XT,16,2048,40656.56
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,32,1024,43788.08
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3070,16,1024,56623.84
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,16,512,21636.72
2021,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,64,2048,78900.08
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,16,512,54046.16
2020,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 4090,16,512,107833.04
2022,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,16,512,94922.8
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 4090,32,512,143269.28
2023,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3070,32,512,46547.76
2021,ASRock X570 Phantom,Intel i9-12900K,RTX 4090,16,512,111201.44
2024,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,64,1024,85383.76
2023,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 4090,16,512,111540.8
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,16,2048,116230.8
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,57186.08
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,32,2048,126675.92
2024,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3080,16,512,54036.64
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3060,32,512,42939.68
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 6700 XT,16,512,54817.84
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3070,32,2048,65630.32
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 4090,32,512,100662.24
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3080,64,2048,83410.88
2022,ASUS TUF Gaming B660M,Intel i5-11400F,RX 7900 XTX,64,1024,93858.8
2024,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 6700 XT,16,1024,44980.32
2024,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,16,512,123114.88
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,16,2048,43925.28
2023,ASRock X570 Phantom,Intel i9-12900K,RX 6700 XT,16,512,56630.56
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3080,16,512,58150.96
2021,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3070,16,2048,62475.28
2022,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 7900 XTX,64,1024,109822.72
2024,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3080,32,512,83555.36
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,78801.52
2022,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 6700 XT,64,2048,89900.72
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,55204.8
2022,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3080,16,512,68944.96
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,64,512,119452.48
2021,Gigabyte B660M DS3H,Intel i9-12900K,RX 6700 XT,16,2048,54766.88
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3070,32,2048,62302.24
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3080,16,2048,62317.92
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,64,1024,99403.36
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,16,2048,68580.4
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,64,512,63936.32
2020,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RX 7900 XTX,32,512,66908.8
2023,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3080,64,1024,82552.96
2020,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,91697.76
2021,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3060,32,512,30289.28
2022,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,32,512,31260.32
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3060,64,512,77216.16
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,64,512,130471.04
2023,MSI MPG Z690 EDGE,Intel i7-12700K,RX 6700 XT,32,512,53599.84
2020,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3070,16,1024,47347.44
2024,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 6700 XT,32,2048,79476.32
2022,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3060,16,1024,39762.24
2024,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,16,1024,46251.52
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3080,64,2048,76302.8
2024,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3060,16,512,44063.6
2021,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,32,512,52886.96
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 4090,64,1024,122640
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,16,1024,95629.52
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 4090,16,1024,113609.44
2023,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3070,32,2048,75795.44
2020,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 7900 XTX,16,512,78293.04
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 6700 XT,16,2048,39279.52
2020,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,64,2048,128608.48
2023,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,32,512,119515.76
2023,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 6700 XT,64,2048,66516.24
2024,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,16,1024,50688.4
2021,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3070,16,512,41727.28
2023,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,16,2048,129006.08
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3080,64,512,84848.96
2020,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 4090,64,1024,125959.12
2022,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3060,64,2048,59484.88
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,32,512,47377.12
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 6700 XT,16,512,40480.16
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 6700 XT,32,1024,67874.24
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,64,2048,150190.88
2023,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3080,32,512,71711.36
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 7900 XTX,32,512,102042.08
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3070,16,2048,69722.8
2023,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,32,1024,65458.4
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,64,512,91827.12
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,32,1024,92426.32
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 6700 XT,64,512,57235.92
2021,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 4090,64,1024,129251.92
2024,ASUS TUF Gaming B660M,Intel i5-11400F,RX 6700 XT,16,512,38297.28
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,16,2048,113561.84
2024,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3070,16,512,56598.64
2021,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,32,2048,44396.24
2021,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 4090,64,1024,135594.48
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3070,32,1024,44465.68
2024,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 4090,64,2048,159331.2
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 3080,64,2048,94034.64
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 4090,16,512,82362
2024,Gigabyte B660M DS3H,Intel i7-12700K,RX 7900 XTX,16,2048,89106.64
2021,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,64,512,136413.76
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 7900 XTX,16,2048,74334.4
2020,ASUS TUF Gaming B660M,Intel i9-12900K,RX 6700 XT,32,2048,61903.52
2022,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3080,32,1024,61412.4
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,64,2048,107489.76
2023,ASRock X570 Phantom,Intel i5-11400F,RTX 3060,64,2048,63528.64
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,64,1024,82907.44
2022,Gigabyte B660M DS3H,Intel i5-11400F,RTX 4090,16,1024,100307.76
2022,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3080,32,2048,86000.32
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RX 6700 XT,16,512,43449.28
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3080,64,512,106151.92
2020,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,32,1024,54892.88
2023,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3060,64,2048,80871.28
2024,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,64,512,121223.2
2024,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,92330
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,55645.52
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 7900 XTX,32,2048,78900.64
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,64,512,101838.8
2021,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,32,1024,84337.12
2022,Gigabyte B660M DS3H,Intel i9-12900K,RX 6700 XT,32,1024,60804.24
2020,MSI MPG Z690 EDGE,Intel i5-11400F,RX 7900 XTX,64,2048,90332.48
2024,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3070,64,512,71606.64
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 4090,16,512,121137.52
2021,ASRock X570 Phantom,Intel i9-12900K,RTX 4090,64,1024,139796.72
2021,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3070,16,1024,55962.48
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 3080,64,512,84142.24
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,16,2048,55896.96
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3070,64,1024,60361.84
2023,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 4090,32,512,112118.16
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RX 7900 XTX,32,512,75482.4
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,64,512,60604.88
2021,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,32,512,77021.84
2020,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,32,512,42609.84
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3080,32,2048,74515.84
2024,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3080,32,2048,81425.12
2021,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3080,16,512,50970.08
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3070,64,512,77217.84
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RX 6700 XT,64,512,56585.2
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,16,1024,75222
2022,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3060,64,512,62693.12
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,64,512,48596.8
2023,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3060,64,1024,59673.6
2023,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3070,64,2048,88505.2
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 7900 XTX,16,2048,65658.32
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,64,512,78504.16
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,111927.2
2022,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,16,2048,103337.92
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3070,32,2048,59413.2
2023,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,64,1024,72159.36
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,16,512,51341.36
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 3060,64,2048,52256.96
2023,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 6700 XT,16,2048,39382.56
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3070,32,1024,61736.64
2022,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3060,16,512,20904.24
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3080,32,2048,83142.64
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,16,2048,27112.96
2021,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 4090,64,1024,135019.36
2020,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3070,16,1024,52017.84
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 4090,64,1024,152330.64
2023,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,16,2048,50664.88
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 4090,64,1024,110298.16
2024,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,64,1024,77386.96
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 7900 XTX,64,512,88756.08
2023,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 4090,32,512,109963.28
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,16,2048,71475.04
2024,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,107783.76
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,64,2048,109809.84
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,16,1024,79847.6
2022,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 7900 XTX,32,512,95119.36
2024,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3060,64,512,57182.72
2024,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,16,1024,52409.84
2022,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3080,16,2048,72417.52
2021,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,32,512,118937.84
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,32,512,35933.52
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,32,2048,62637.68
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 4090,16,2048,95067.84
2024,ASUS TUF Gaming B660M,Intel i5-11400F,RX 6700 XT,64,2048,75074.72
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3070,64,2048,85307.04
2023,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3060,16,1024,47468.96
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,32,2048,55974.8
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,16,2048,37149.84
2021,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3080,64,1024,88704.56
2024,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,16,512,92696.24
2021,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,64,2048,103976.88
2023,ASUS TUF Gaming B660M,Intel i9-12900K,RX 6700 XT,16,512,47636.4
2020,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,16,2048,108622.08
2022,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3060,64,2048,67171.44
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,64,2048,145799.92
2024,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,64,2048,67628.96
2020,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 6700 XT,32,2048,46093.6
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3070,64,512,70272.16
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,64,1024,75276.32
2024,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 6700 XT,64,512,71094.24
2022,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3080,32,512,74058.32
2021,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 7900 XTX,64,2048,101173.52
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 3080,64,2048,88431.28
2024,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3070,16,2048,58787.68
